Country or territory of asylum or residence,"Country or territory of origin","Year","Refugees<sup>*</sup>","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations<sup>**</sup>","Total refugees and people in refugee-like situations assisted by UNHCR"
"Austria","Afghanistan","2015","24840","0","0","0"
"Austria","Syria","2015","24720","0","0","0"
"Austria","Iraq","2015","13255","0","0","0"
"Austria","Iran","2015","3380","0","0","0"
"Austria","Pakistan","2015","2890","0","0","0"
"Austria","Other","2015","16450","0","0","0"
"Belgium","Syria","2015","10295","0","0","0"
"Belgium","Iraq","2015","9215","0","0","0"
"Belgium","Afghanistan","2015","7730","0","0","0"
"Belgium","Somalia","2015","2010","0","0","0"
"Belgium","Unknown","2015","1090","0","0","0"
"Belgium","Other","2015","8650","0","0","0"
"Bulgaria","Iraq","2015","6910","0","0","0"
"Bulgaria","Afghanistan","2015","6165","0","0","0"
"Bulgaria","Syria","2015","5955","0","0","0"
"Bulgaria","Pakistan","2015","570","0","0","0"
"Bulgaria","Iran","2015","170","0","0","0"
"Bulgaria","Other","2015","395","0","0","0"
"Croatia","Syria","2015","25","0","0","0"
"Croatia","Kosovo (UNSCR 1244/99)","2015","10","0","0","0"
"Croatia","Afghanistan","2015","10","0","0","0"
"Croatia","Turkey","2015","10","0","0","0"
"Croatia","Ukraine","2015","10","0","0","0"
"Croatia","Other","2015","75","0","0","0"
"Czech Rep.","Ukraine","2015","565","","0","0"
"Czech Rep.","Syria","2015","130","","0","0"
"Czech Rep.","Cuba","2015","125","","0","0"
"Czech Rep.","Vietnam","2015","55","","0","0"
"Czech Rep.","China","2015","35","","0","0"
"Czech Rep.","Other","2015","325","","0","0"
"Denmark","Syria","2015","8580","","0","0"
"Denmark","Iran","2015","2745","","0","0"
"Denmark","Afghanistan","2015","2215","","0","0"
"Denmark","Eritrea","2015","1705","","0","0"
"Denmark","Stateless","2015","1685","","0","0"
"Denmark","Other","2015","3895","","0","0"
"Estonia","Ukraine","2015","95","","0","0"
"Estonia","Russia","2015","15","","0","0"
"Estonia","Syria","2015","15","","0","0"
"Estonia","Iraq","2015","15","","0","0"
"Estonia","Georgia","2015","10","","0","0"
"Estonia","Other","2015","75","","0","0"
"Finland","Iraq","2015","20400","","0","0"
"Finland","Afghanistan","2015","5190","","0","0"
"Finland","Somalia","2015","1975","","0","0"
"Finland","Syria","2015","875","","0","0"
"Finland","Albania","2015","755","","0","0"
"Finland","Other","2015","2955","","0","0"
"France","Sudan","2015","5315","","0","0"
"France","Syria","2015","4625","","0","0"
"France","Kosovo (UNSCR 1244/99)","2015","3825","","0","0"
"France","Dem. Rep. of the Congo","2015","3800","","0","0"
"France","Bangladesh","2015","3345","","0","0"
"France","Other","2015","49660","","0","0"
"Germany","Syria","2015","158655","","0","0"
"Germany","Albania","2015","53805","","0","0"
"Germany","Kosovo (UNSCR 1244/99)","2015","33425","","0","0"
"Germany","Afghanistan","2015","31380","","0","0"
"Germany","Iraq","2015","29785","","0","0"
"Germany","Other","2015","134750","","0","0"
"Greece","Syria","2015","3325","","0","0"
"Greece","Afghanistan","2015","1545","","0","0"
"Greece","Pakistan","2015","1505","","0","0"
"Greece","Albania","2015","915","","0","0"
"Greece","Iraq","2015","575","","0","0"
"Greece","Other","2015","3505","","0","0"
"Hungary","Syria","2015","64080","","0","0"
"Hungary","Afghanistan","2015","45560","","0","0"
"Hungary","Kosovo (UNSCR 1244/99)","2015","23690","","0","0"
"Hungary","Pakistan","2015","15010","","0","0"
"Hungary","Iraq","2015","9175","","0","0"
"Hungary","Other","2015","16920","","0","0"
"Ireland","Pakistan","2015","1350","","0","0"
"Ireland","Bangladesh","2015","285","","0","0"
"Ireland","Albania","2015","215","","0","0"
"Ireland","Nigeria","2015","185","","0","0"
"Ireland","India","2015","145","","0","0"
"Ireland","Other","2015","1090","","0","0"
"Italy","Nigeria","2015","17780","","0","0"
"Italy","Pakistan","2015","10285","","0","0"
"Italy","Gambia","2015","8015","","0","0"
"Italy","Senegal","2015","6370","","0","0"
"Italy","Bangladesh","2015","6015","","0","0"
"Italy","Other","2015","34780","","0","0"
"Latvia","Iraq","2015","85","","0","0"
"Latvia","Vietnam","2015","80","","0","0"
"Latvia","Ukraine","2015","45","","0","0"
"Latvia","Afghanistan","2015","35","","0","0"
"Latvia","Georgia","2015","30","","0","0"
"Latvia","Other","2015","55","","0","0"
"Lithuania","Ukraine","2015","60","","0","0"
"Lithuania","Georgia","2015","45","","0","0"
"Lithuania","Russia","2015","35","","0","0"
"Lithuania","Afghanistan","2015","30","","0","0"
"Lithuania","Iraq","2015","25","","0","0"
"Lithuania","Other","2015","80","","0","0"
"Luxembourg","Syria","2015","635","","0","0"
"Luxembourg","Iraq","2015","545","","0","0"
"Luxembourg","Afghanistan","2015","220","","0","0"
